分类,原始query,正则query,模版,语义相似性,编辑距离,编辑距离相似性,weighted_sim
版本更新,要英雄接手,要英雄接手,"('英雄更新', 2)",0.8352511,3,0.4,0.704675765
版本更新,王者的更新,王者更新,"('英雄更新', 2)",0.908874,2,0.5,0.786211783
版本更新,这个赛季新英雄是谁？,这个赛季新英雄是谁？,"('最新英雄更新', 2)",0.9003325,7,0.3,0.720232757
版本更新,最近上线上线了新英雄,最近上线上线新英雄,"('最新英雄更新', 2)",0.95386606,7,0.222222222,0.734372912
版本更新,为不 更新,为更新,"('更新', 2)",0.94988656,1,0.666666667,0.864920592
版本更新,上把英雄几周几更新,上把英雄几周几更新,"('这次英雄更新', 2)",0.8656631,5,0.444444444,0.739297511
版本更新,英雄升级标记,英雄升级标记,"('英雄更新', 2)",0.86507404,4,0.333333333,0.705551827
版本更新,最近英雄的变动,最近英雄变动,"('最新英雄更新', 2)",0.9480392,3,0.5,0.813627422
版本更新,明天更不更新,明天更更新,"('这次更新', 2)",0.89923644,3,0.4,0.749465508
版本更新,这个战绩好就更新,这个战绩好就更新,"('这次更新', 2)",0.886938,5,0.375,0.733356583
版本更新,近期预计上线的新皮肤,近期预计上线新皮肤,"('近期更新', 2)",0.88965786,6,0.333333333,0.722760499
版本更新,版本是,版本是,"('版本更新', 2)",0.89286447,2,0.5,0.775005126
版本更新,近期的英雄撩人,近期英雄撩人,"('本次英雄更新', 2)",0.87305254,4,0.333333333,0.711136776
版本更新,最强英雄是什么,最强英雄是什么,"('最新英雄更新', 2)",0.8193097,4,0.428571429,0.702088227
版本更新,八月一十七日更新公告,八月一十七日更新公告,"('更新公告', 2)",0.9419462,6,0.4,0.779362346
版本更新,赛季更新英雄的战力会更新吗,赛季更新英雄战力会更新,"('本次英雄更新', 2)",0.8829398,7,0.363636364,0.72714878
版本更新,根本玩不下去，这次版本更新,根本玩下去，这次版本更新,"('去看这次版本更新', 2)",0.87240106,5,0.583333333,0.785680741
版本更新,更新通报,更新通报,"('更新公告', 2)",0.904169,2,0.5,0.782918316
版本更新,2.17公告,2.17公告,"('这次公告', 2)",0.8977947,4,0.333333333,0.728456306
版本更新,更新领取,更新领取,"('更新公告', 2)",0.88400763,2,0.5,0.768805343
版本更新,版本更新太低怎么办,版本更新太低怎么办,"('版本更新', 2)",0.84731007,5,0.444444444,0.72645038
版本更新,更六,更六,"('更新', 2)",0.8354685,1,0.5,0.73482793
版本更新,新英雄咋玩,新英雄咋玩,"('最新英雄更新', 2)",0.83184016,3,0.5,0.73228811
版本更新,推迟更新公告,推迟更新公告,"('更新公告', 2)",0.9636423,2,0.666666667,0.874549609
版本更新,更新就行,更新就行,"('更新', 2)",0.88646376,2,0.5,0.770524633
版本更新,目前最新版本。,目前最新版本,"('版本更新', 2)",0.9315581,5,0.166666667,0.702090651
版本更新,近期规律,近期规律,"('近期更新', 2)",0.79539526,2,0.5,0.706776679
版本更新,版本强不强,版本强不强,"('版本更新', 2)",0.84483683,3,0.4,0.711385782
版本更新,这次更新有哪些英雄皮肤可以玩,这次更新有哪些英雄皮肤可以玩,"('最新英雄更新', 2)",0.9119941,11,0.214285714,0.702681584
版本更新,觉醒之战更新的英雄,觉醒之战更新英雄,"('最新英雄更新', 2)",0.912268,6,0.25,0.713587588
版本更新,如何查看公告？,如何查看公告？,"('查看公告', 2)",0.87789494,3,0.571428571,0.785955028
版本更新,最近有什么会上线,最近有什么会上线,"('最近更新', 2)",0.89899045,6,0.25,0.704293317
版本更新,我要上,我要上,"('我要更新', 2)",0.86194855,2,0.5,0.753363985
版本更新,七月七号，更新,七月七号，更新,"('近期更新', 2)",0.8819173,5,0.285714286,0.703056394
版本更新,英雄排位怎么还不更新呢,英雄排位怎么还更新,"('英雄更新', 2)",0.8543654,5,0.444444444,0.731389119
版本更新,这次更新了一些什么,这次更新一些什么,"('最近更新', 2)",0.90102744,6,0.25,0.705719209
版本更新,近期英雄活动,近期英雄活动,"('这次英雄更新', 2)",0.8883025,4,0.333333333,0.721811754
版本更新,没有更新呀,没有更新,"('更新', 2)",0.91205883,2,0.5,0.788441181
版本更新,英雄变大,英雄变大,"('英雄更新', 2)",0.85340273,2,0.5,0.747381914
版本更新,最近有哪些英雄是限免的,最近有哪些英雄是限免,"('最新英雄更新', 2)",0.88399047,7,0.3,0.708793327
版本更新,关注官网公告,关注官网公告,"('这次公告', 2)",0.9413053,4,0.333333333,0.758913696
版本更新,对哪些英雄改了,对哪些英雄改了,"('最新英雄更新', 2)",0.89172775,5,0.285714286,0.709923708
版本更新,哪里下载新版本全部,哪里下载新版本全部,"('最新版本更新', 2)",0.85817206,6,0.333333333,0.700720441
版本更新,版本英雄排行,版本英雄排行,"('最新英雄更新', 2)",0.90607727,4,0.333333333,0.734254086
版本更新,啥什么更新,啥什么更新,"('查一下这次更新', 2)",0.912615,5,0.285714286,0.724544787
版本更新,这两天什么英雄增强了,这两天什么英雄增强,"('最新英雄更新', 2)",0.92040294,7,0.222222222,0.710948728
版本更新,最近有什么改动吗,最近有什么改动,"('最近更新', 2)",0.9064758,5,0.285714286,0.720247333
版本更新,给我今天的更新公告,我今天更新公告,"('我要更新公告', 2)",0.95552784,2,0.714285714,0.883155204
版本更新,最近更新什么英雄,最近更新什么英雄,"('最新英雄更新', 2)",0.9680616,6,0.25,0.752643138
版本更新,新号碎片商店不更新,新号碎片商店更新,"('新更新', 2)",0.84284186,5,0.375,0.702489305
版本更新,英雄方面有什么更新,英雄方面有什么更新,"('最新英雄更新', 2)",0.9293161,7,0.222222222,0.717187939
版本更新,要更新的英雄吗？,要更新英雄？,"('最新英雄更新', 2)",0.9720919,4,0.333333333,0.780464339
版本更新,这次英雄碎片更新什么时候结束呢,这次英雄碎片更新什么时候结束,"('这次英雄更新', 2)",0.84945714,8,0.428571429,0.72319143
版本更新,最近中止,最近中止,"('最近更新', 2)",0.8369009,2,0.5,0.735830623
版本更新,这个版本最强的英雄是谁,这个版本最强英雄是谁,"('最新英雄更新', 2)",0.87405455,7,0.3,0.701838186
版本更新,英雄强度高吗,英雄强度高,"('英雄更新', 2)",0.87602293,3,0.4,0.733216054
版本更新,我是否最新版本,我是否最新版本,"('最新版本更新', 2)",0.8819866,5,0.285714286,0.703104918
版本更新,s32公告,s32公告,"('这次公告', 2)",0.8902681,3,0.4,0.743187661
版本更新,近期设备,近期设备,"('近期更新', 2)",0.83849365,2,0.5,0.736945552
版本更新,在洗平时的公告,在洗平时公告,"('这次公告', 2)",0.89553165,4,0.333333333,0.726872158
版本更新,5月16日公告,月16日公告,"('最新公告', 2)",0.9249144,4,0.333333333,0.747440094
版本更新,新赛季更新,新赛季更新,"('新更新', 2)",0.905521,2,0.6,0.813864683
版本更新,我的建议是更新,我建议是更新,"('更新', 2)",0.89803374,4,0.333333333,0.728623617
版本更新,下路新英雄是什么,下路新英雄是什么,"('最新英雄更新', 2)",0.84690434,5,0.375,0.705333036
版本更新,即将迎来的英雄调整,即将迎来英雄调整,"('英雄更新', 2)",0.9024993,6,0.25,0.706749523
版本更新,四月六号要更新吗,四月六号要更新,"('此次更新', 2)",0.9003179,5,0.285714286,0.715936821
版本更新,现在最强英雄是谁,现在最强英雄是谁,"('最新英雄更新', 2)",0.84168,5,0.375,0.701675993
版本更新,新新新皮肤,新新新皮肤,"('新更新', 2)",0.8873888,3,0.4,0.741172178
版本更新,新英雄地二,新英雄地二,"('英雄更新', 2)",0.8414508,3,0.4,0.709015567
版本更新,白起最新英雄调整,白起最新英雄调整,"('最新英雄更新', 2)",0.8730126,4,0.5,0.761108822
版本更新,这是今天要更新吗,这是今天要更新,"('此次更新', 2)",0.913586,5,0.285714286,0.7252245
版本更新,瑶出新英雄了吗？,瑶出新英雄？,"('最新英雄更新', 2)",0.87682664,4,0.333333333,0.713778651
版本更新,最近要上新新英雄吗,最近要上新新英雄,"('近期英雄更新', 2)",0.961396,7,0.125,0.710477185
版本更新,英雄改动要要,英雄改动要要,"('英雄更新', 2)",0.90289855,4,0.333333333,0.732028985
版本更新,英雄更新在哪查看,英雄更新在查看,"('最新英雄更新', 2)",0.9487696,5,0.285714286,0.749853026
版本更新,英雄战力刷新,英雄战力刷新,"('英雄更新', 2)",0.88576657,3,0.5,0.770036596
版本更新,近日更新状况,近日更新状况,"('最近更新', 2)",0.9506781,4,0.333333333,0.765474677
版本更新,此次更新了什么东西？,此次更新什么东西？,"('最近更新', 2)",0.90714204,7,0.222222222,0.701666097
版本更新,近期加强的英雄更适合练习的,近期加强英雄更适合练习,"('近期英雄更新', 2)",0.8977172,6,0.454545455,0.764765661
版本更新,最近的英雄改动有哪几个,最近英雄改动有哪几个,"('最新英雄更新', 2)",0.94246256,7,0.3,0.749723794
版本更新,新版英雄有谁是加强的,新版英雄有谁是加强,"('最新英雄更新', 2)",0.9120404,7,0.222222222,0.705094955
版本更新,视频商店更新吗,视频商店更新,"('更新', 2)",0.88347685,4,0.333333333,0.718433797
版本更新,系统，今天更新吗,系统，今天更新,"('这次更新', 2)",0.89101994,5,0.285714286,0.709428244
版本更新,更新上的英雄是谁,更新上英雄是谁,"('英雄更新', 2)",0.9182533,5,0.285714286,0.728491598
版本更新,修炼英雄那里更换,修炼英雄那里更换,"('英雄更新', 2)",0.8397536,5,0.375,0.700327539
版本更新,镜英雄调整,镜英雄调整,"('英雄更新', 2)",0.8452507,3,0.4,0.711675508
版本更新,让我看一下公告,让我看一下公告,"('这次公告', 2)",0.9521785,5,0.285714286,0.75223922
版本更新,下一次英雄刷新是什么,下一次英雄刷新是什么,"('英雄更新', 2)",0.8723302,7,0.3,0.700631132
版本更新,他选英雄增强,他选英雄增强,"('英雄更新', 2)",0.8623626,4,0.333333333,0.703653836
版本更新,下一次更新时间,下一次更新时间,"('查一下更新', 2)",0.83578944,4,0.428571429,0.713624038
版本更新,上一个上架的新英雄是什么,上一个上架新英雄是什么,"('最新英雄更新', 2)",0.9172377,8,0.272727273,0.723884571
版本更新,更新了吗？,更新？,"('更新', 2)",0.9690854,1,0.666666667,0.878359777
版本更新,版本太低这么更新,版本太低这么更新,"('版本更新', 2)",0.88532805,4,0.5,0.769729638
版本更新,海诺更新,海诺更新,"('版本更新', 2)",0.8594547,2,0.5,0.751618284
版本更新,赛季英雄补办,赛季英雄补办,"('最新英雄更新', 2)",0.8655472,4,0.333333333,0.705883026
版本更新,最近更新英雄哪些需了，哪些增强,最近更新英雄哪些需，哪些增强,"('最新英雄更新', 2)",0.92877954,10,0.285714286,0.735859965
版本更新,澜现在更新看吗,澜现在更新看,"('这次更新', 2)",0.87530935,4,0.333333333,0.712716544
版本更新,S30更新,s30更新,"('版本更新', 2)",0.8755697,3,0.4,0.732898791
版本更新,英雄战力更新后不一样,英雄战力更新后,"('英雄更新', 2)",0.89125514,3,0.571428571,0.79530717
版本更新,去看新月,去看新月,"('去看更新', 2)",0.8205102,2,0.5,0.724357146
版本更新,最近有什么英雄要上市吗,最近有什么英雄要上市,"('最新英雄更新', 2)",0.87335384,7,0.3,0.701347687
版本更新,五月三十日英雄更新,五月三十日英雄更新,"('英雄更新', 2)",0.8852339,5,0.444444444,0.752997049
版本更新,更新的什么,更新什么,"('更新', 2)",0.92409647,2,0.5,0.796867526
版本更新,新英雄上司,新英雄上司,"('英雄更新', 2)",0.8345611,3,0.4,0.704192777
版本更新,有没有新的英雄上线,有没有新英雄上线,"('最新英雄更新', 2)",0.92401105,5,0.375,0.759307736
版本更新,这次赛季更新了吗,这次赛季更新,"('这次更新', 2)",0.90580547,2,0.666666667,0.834063828
版本更新,最近同居,最近同居,"('最近更新', 2)",0.8017738,2,0.5,0.711241651
版本更新,王者在哪更新,王者在更新,"('英雄更新', 2)",0.87174404,3,0.4,0.730220826
版本更新,请问啥时候更新,请问啥时候更新,"('查一下更新', 2)",0.8872465,5,0.285714286,0.706786828
版本更新,更新而,更新而,"('新更新', 2)",0.96098506,2,0.333333333,0.772689545
版本更新,新英雄要连的可信,新英雄要可信,"('英雄更新', 2)",0.8707523,4,0.333333333,0.709526592
版本更新,英雄改动了,英雄改动,"('英雄更新', 2)",0.9052658,2,0.5,0.783686066
版本更新,开始优化更新。,开始优化更新,"('更新', 2)",0.8959285,4,0.333333333,0.727149951
版本更新,我的版本更新了嘛？,我版本更新？,"('版本更新', 2)",0.954608,2,0.666666667,0.868225616
版本更新,最近英雄设置查看,最近英雄设置查看,"('最新英雄更新', 2)",0.9002399,5,0.375,0.742667919
版本更新,要新版本改动,要新版本改动,"('版本更新', 2)",0.9396937,4,0.333333333,0.757785583
版本更新,赛季更新赛,赛季更新赛,"('英雄更新', 2)",0.87848747,3,0.4,0.734941227
版本更新,现在不更新嘛？,现在更新？,"('这次更新', 2)",0.9322534,3,0.4,0.772577394
版本更新,我要更新下个赛季,我要更新下个赛季,"('我要更新', 2)",0.87485814,4,0.5,0.762400699
版本更新,八月三十一号以后英雄更新调整,八月三十一号以后英雄更新调整,"('查一下英雄更新', 2)",0.8904712,9,0.357142857,0.730472711
版本更新,最近获得的动作,最近获得动作,"('最近更新', 2)",0.9028481,4,0.333333333,0.731993687
版本更新,最近有新英雄出来吗,最近有新英雄出来,"('最新英雄更新', 2)",0.9354724,4,0.5,0.8048307
版本更新,查看最新套系,查看最新套系,"('最新更新', 2)",0.8573074,4,0.333333333,0.700115162
版本更新,都改了哪些英雄阵容,都改哪些英雄阵容,"('最新英雄更新', 2)",0.89750636,6,0.25,0.703254449
版本更新,这一次更新出的英雄，叫什么名字,这一次更新出英雄，叫什么名字,"('最新英雄更新', 2)",0.9403919,11,0.214285714,0.722560043
版本更新,最近最新的活动,最近最新活动,"('最近更新', 2)",0.82519275,3,0.5,0.727634925
版本更新,更新英雄更改,更新英雄更改,"('最新英雄更新', 2)",0.91978717,2,0.666666667,0.843851018
版本更新,最近调整的详细内容,最近调整详细内容,"('最近更新', 2)",0.90108705,6,0.25,0.705760932
版本更新,修炼英雄咋更换,修炼英雄咋更换,"('英雄更新', 2)",0.8308637,4,0.428571429,0.710176029
版本更新,体验服更新王,体验服更新王,"('英雄更新', 2)",0.8587864,4,0.333333333,0.701150483
版本更新,网络更新,网络更新,"('更新', 2)",0.9202875,2,0.5,0.794201243
版本更新,王者在更新吗,王者在更新,"('英雄更新', 2)",0.87174404,3,0.4,0.730220826
版本更新,最近事。,最近事,"('最近更新', 2)",0.88267624,2,0.5,0.767873371
版本更新,最早英雄上架,最早英雄上架,"('英雄更新', 2)",0.8583869,4,0.333333333,0.700870812
版本更新,已经更新了吧,已经更新,"('这次更新', 2)",0.92899954,2,0.5,0.80029968
版本更新,查找版本更新,查找版本更新,"('版本更新', 2)",0.9252429,2,0.666666667,0.847670031
版本更新,最近有毒啊,最近有毒,"('最近更新', 2)",0.8310052,2,0.5,0.731703651
版本更新,把那把那个公告给我看一下,把那把那个公告我看一下,"('查看一下公告', 2)",0.9672312,9,0.181818182,0.731607304
版本更新,2月24更新,月24更新,"('本次更新', 2)",0.8877248,3,0.4,0.741407372
版本更新,主页英雄展示怎么更新,主页英雄展示怎么更新,"('英雄更新', 2)",0.86276037,6,0.4,0.723932256
版本更新,这是最新的吗,这是最新,"('最新更新', 2)",0.9249129,3,0.25,0.722439051
版本更新,给我看一下公告,我看一下公告,"('查看一下公告', 2)",0.99127555,1,0.833333333,0.943892884
版本更新,最近玩的最近玩的英雄设定,最近玩最近玩英雄设定,"('最新英雄更新', 2)",0.8861114,7,0.3,0.710277965
版本更新,版本不一样，怎么更改,版本，怎么更改,"('版本更新', 2)",0.89086473,4,0.428571429,0.752176739
版本更新,这次赛季更新停机吗,这次赛季更新停机,"('这次英雄更新', 2)",0.8495566,4,0.5,0.744689637
版本更新,新汇总,新汇总,"('新更新', 2)",0.8912636,2,0.333333333,0.723884523
版本更新,在哪更新状态,在更新状态,"('新更新', 2)",0.8609595,3,0.4,0.722671629
版本更新,英雄的更新公告的呢,英雄更新公告,"('这次英雄更新', 2)",0.96243906,4,0.333333333,0.773707342
版本更新,最近哪些英雄都有福利,最近哪些英雄都有福利,"('最新英雄更新', 2)",0.8923729,7,0.3,0.714661034
版本更新,四月份更新内容,四月份更新内容,"('本次更新', 2)",0.9053658,5,0.285714286,0.719470363
版本更新,下一个新英雄是谁？,下一个新英雄是谁？,"('最新英雄更新', 2)",0.86718047,6,0.333333333,0.707026327
版本更新,下次英雄池更新是什么时候,下次英雄池更新是什么时候,"('这次英雄更新', 2)",0.86408514,7,0.416666667,0.729859596
版本更新,英雄升级版,英雄升级版,"('英雄更新', 2)",0.9296739,3,0.4,0.770771737
版本更新,下载最新版本,下载最新版本,"('我要新版本更新', 2)",0.8983463,5,0.285714286,0.714556699
版本更新,兑换英雄多久更新一次,兑换英雄多久更新一次,"('英雄更新', 2)",0.8382151,6,0.4,0.706750579
版本更新,我的英雄战力怎么更新了,我英雄战力怎么更新,"('英雄更新', 2)",0.8557917,5,0.444444444,0.732387515
版本更新,这次更新哪些英雄增强了,这次更新哪些英雄增强,"('最新英雄更新', 2)",0.93919086,7,0.3,0.747433605
版本更新,新英雄上线了没有？,新英雄上线没有？,"('最新英雄更新', 2)",0.8942368,6,0.25,0.700965762
版本更新,最新的英雄更新,最新英雄更新,"('最新英雄更新', 2)",1,0,1,1
版本更新,英雄太迟,英雄太迟,"('英雄更新', 2)",0.8073169,2,0.5,0.71512183
版本更新,3.30更新总览,3.30更新总览,"('最新更新', 2)",0.89489156,6,0.25,0.701424092
版本更新,最近出的新英雄是什么,最近出新英雄是什么,"('最新英雄更新', 2)",0.945204,5,0.444444444,0.794976147
版本更新,关于英雄调整,关于英雄调整,"('英雄更新', 2)",0.8783027,4,0.333333333,0.714811885
版本更新,二十一号更不更新,二十一号更更新,"('这次更新', 2)",0.89323425,5,0.285714286,0.710978263
版本更新,最近有新英雄登场吗？,最近有新英雄登场？,"('最新英雄更新', 2)",0.94316626,5,0.444444444,0.793549712
版本更新,下赛季新英雄是谁,下赛季新英雄是谁,"('最新英雄更新', 2)",0.8898394,5,0.375,0.735387588
版本更新,请更新,请更新,"('我要更新', 2)",0.9701429,2,0.5,0.829100031
版本更新,我要登录,我要登录,"('我要更新', 2)",0.843039,2,0.5,0.740127283
版本更新,主页公告没了,主页公告没,"('这次公告', 2)",0.89600784,3,0.4,0.747205485
版本更新,飞机公告,飞机公告,"('这次公告', 2)",0.84212,2,0.5,0.739483994
版本更新,刚刚更新了些什么,刚刚更新些什么,"('最近更新', 2)",0.89523727,5,0.285714286,0.712380373
版本更新,2023.8.3更新,2023.8更新,"('近期更新', 2)",0.8970566,6,0.25,0.702939606
版本更新,新出的英雄要叫什么名字,新出英雄要叫什么名字,"('最新英雄更新', 2)",0.91484904,8,0.2,0.70039433
版本更新,我又没有更新,我又没有更新,"('更新', 2)",0.8806733,4,0.333333333,0.716471303
版本更新,查询最新版本,查询最新版本,"('最新版本更新', 2)",0.92047095,4,0.333333333,0.744329667
版本更新,最近哪些英雄更强了,最近哪些英雄更强,"('最近英雄更新', 2)",0.92183954,3,0.625,0.832787675
版本更新,这王者更新了吧,这王者更新,"('英雄更新', 2)",0.8876218,3,0.4,0.741335274
版本更新,最新赛季,最新赛季,"('最新更新', 2)",0.8439095,2,0.5,0.740736651
版本更新,最近改了吗,最近改,"('最近更新', 2)",0.9149575,2,0.5,0.790470266
版本更新,英雄换分路,英雄换分路,"('英雄更新', 2)",0.8456364,3,0.4,0.711945499
版本更新,本赛季哪些英雄改了,本赛季哪些英雄改了,"('最新英雄更新', 2)",0.9087095,7,0.222222222,0.702763335
版本更新,更新游戏更,更新游戏更,"('更新', 2)",0.8980803,3,0.4,0.748656203
版本更新,即将更新的活动,即将更新活动,"('近期更新', 2)",0.87191415,4,0.333333333,0.710339904
版本更新,六月二十六公告,六月二十六公告,"('这次公告', 2)",0.9084071,5,0.285714286,0.72159925
版本更新,最近需不需要更新,最近需不需要更新,"('查一下更新', 2)",0.92774224,6,0.25,0.72441957
版本更新,今天更新内容哪些英雄做了调整,今天更新内容哪些英雄做调整,"('最新英雄更新', 2)",0.9322504,10,0.230769231,0.721806036
版本更新,近期有什么英雄调整,近期有什么英雄调整,"('最近英雄更新', 2)",0.9466922,7,0.222222222,0.729351226
版本更新,下一版本什么时候更新,下一版本什么时候更新,"('最新版本更新', 2)",0.844514,6,0.4,0.711159809
版本更新,新赛季一样,新赛季,"('新更新', 2)",0.8583927,2,0.333333333,0.700874901
版本更新,最近英雄增强了吗,最近英雄增强,"('此次英雄更新', 2)",0.9429373,4,0.333333333,0.76005612
版本更新,版本那个怎么更新,版本那个怎么更新,"('版本更新', 2)",0.9138836,4,0.5,0.789718539
版本更新,最近英雄有哪些增强了的吗,最近英雄有哪些增强,"('最新英雄更新', 2)",0.9257779,6,0.333333333,0.748044538
版本更新,借号更新,借号更新,"('更新', 2)",0.7915724,2,0.5,0.704100674
版本更新,此版本英雄都更新了什么,此版本英雄都更新什么,"('最新英雄更新', 2)",0.94860977,6,0.4,0.784026839
版本更新,澜最近加强了吗？,澜最近加强？,"('最近更新', 2)",0.87498486,4,0.333333333,0.712489402
版本更新,本次更新都更新了，哪些内容,本次更新都更新，哪些内容,"('查一下新更新', 2)",0.90855455,9,0.25,0.710988188
版本更新,18号更新汇总,18号更新汇总,"('近期更新', 2)",0.90407264,5,0.285714286,0.718565135
版本更新,把版本更新,把版本更新,"('版本更新', 2)",0.9142797,1,0.8,0.87999579
版本更新,如何英雄升级,如何英雄升级,"('英雄更新', 2)",0.86135393,4,0.333333333,0.702947754
版本更新,最近得了什么？,最近得什么？,"('最近更新', 2)",0.8718287,4,0.333333333,0.710280073
版本更新,我现在想更新,我现在想更新,"('我要更新', 2)",0.9659112,3,0.5,0.826137847
版本更新,英雄调整澜,英雄调整澜,"('英雄更新', 2)",0.85160804,3,0.4,0.716125627
版本更新,版本新更新,版本新更新,"('版本更新', 2)",0.98329145,1,0.8,0.928304013
版本更新,6月5日更新,月日更新,"('更新', 2)",0.8813261,2,0.5,0.766928256
版本更新,霏更新,霏更新,"('新更新', 2)",0.85561633,1,0.666666667,0.798931432
版本更新,随即更新,随即更新,"('更新', 2)",0.92733306,2,0.5,0.79913314
版本更新,版版本更新的内容,版版本更新内容,"('版本更新', 2)",0.9548834,3,0.571428571,0.839846949
版本更新,在哪看更新,在看更新,"('这次更新', 2)",0.94051373,2,0.5,0.808359611
版本更新,最新包有哪些,最新包有哪些,"('最新更新', 2)",0.8589295,4,0.333333333,0.70125066
版本更新,立即更新软件,立即更新软件,"('更新', 2)",0.8953788,4,0.333333333,0.72676518
版本更新,版本有什么英雄加强了,版本有什么英雄加强,"('最新英雄更新', 2)",0.90745366,7,0.222222222,0.701884226
版本更新,最新勾更新,最新勾更新,"('最新更新', 2)",0.97034836,1,0.8,0.919243851
版本更新,新英雄的强度,新英雄强度,"('最新英雄更新', 2)",0.8462992,3,0.5,0.74240942
版本更新,给我刷新。,我刷新,"('新更新', 2)",0.8789953,2,0.333333333,0.71529671
版本更新,我想看一下这次更新的公告,我想看一下这次更新公告,"('查看一下这次更新公告', 2)",0.9856026,2,0.818181818,0.935376378
版本更新,要更新赛季了吗,要更新赛季,"('我要更新', 2)",0.87615025,3,0.4,0.733305175
版本更新,版本知识,版本知识,"('版本更新', 2)",0.8491053,2,0.5,0.744373709
版本更新,传承公告,传承公告,"('这次公告', 2)",0.88164145,2,0.5,0.767149013
版本更新,下一代新出的英雄是谁,下一代新出英雄是谁,"('最新英雄更新', 2)",0.87066853,6,0.333333333,0.709467971
版本更新,新英雄点券,新英雄点券,"('最新英雄更新', 2)",0.85784394,3,0.5,0.750490755
版本更新,兑换英雄皮肤没有更新,兑换英雄皮肤没有更新,"('英雄更新', 2)",0.8354393,6,0.4,0.704807527
版本更新,8月4号内容更新。,月号内容更新,"('更新', 2)",0.87016034,4,0.333333333,0.709112239
版本更新,操作页面更新了吗,操作页面更新,"('版本更新', 2)",0.9097905,4,0.333333333,0.736853361
版本更新,延迟更新的吗,延迟更新,"('更新', 2)",0.8495711,2,0.5,0.744699776
版本更新,英雄练练,英雄练练,"('英雄更新', 2)",0.8516775,2,0.5,0.746174234
版本更新,搜索英雄,搜索英雄,"('最新英雄更新', 2)",0.8889447,4,0.333333333,0.72226128
版本更新,当前版本调整,当前版本调整,"('版本更新', 2)",0.9425476,4,0.333333333,0.759783334
版本更新,贵族系统更新,贵族系统更新,"('版本更新', 2)",0.86412627,4,0.333333333,0.704888386
版本更新,英雄锁定在哪呢,英雄锁定在,"('英雄更新', 2)",0.8409163,3,0.4,0.708641393
版本更新,英雄更新标,英雄更新标,"('英雄更新', 2)",0.9160298,1,0.8,0.881220868
版本更新,新英雄卢娜,新英雄卢娜,"('英雄更新', 2)",0.8475162,3,0.4,0.713261325
版本更新,英雄与焉,英雄与焉,"('英雄公告', 2)",0.8130818,2,0.5,0.719157261
版本更新,近期英雄技能改动,近期英雄技能改动,"('最新英雄更新', 2)",0.92552656,6,0.25,0.722868592
版本更新,新英雄有那些？,新英雄有那些？,"('最新英雄更新', 2)",0.91349363,5,0.285714286,0.725159829
版本更新,修炼英雄数量更改,修炼英雄数量更改,"('英雄更新', 2)",0.84860957,5,0.375,0.706526697
版本更新,新英雄有没有变了,新英雄有没有变,"('最新英雄更新', 2)",0.8838312,5,0.285714286,0.704396128
版本更新,最近啥英雄增强了,最近啥英雄增强,"('最新英雄更新', 2)",0.938738,4,0.428571429,0.785688021
版本更新,今天更新了sm,今天更新sm,"('这次更新', 2)",0.8751678,4,0.333333333,0.712617451
版本更新,最近有新英雄吗,最近有新英雄,"('最新英雄更新', 2)",0.95116603,4,0.333333333,0.765816224
版本更新,商店更新了,商店更新,"('版本更新', 2)",0.88439995,2,0.5,0.769079965
版本更新,哪些英雄强化了,哪些英雄强化,"('最新英雄更新', 2)",0.86424124,4,0.333333333,0.70496887
版本更新,最近邀请,最近邀请,"('最近更新', 2)",0.8269127,2,0.5,0.728838891
版本更新,版本强一点,版本强一点,"('版本更新', 2)",0.8657718,3,0.4,0.726040239
版本更新,7月14更新,月14更新,"('本次更新', 2)",0.8915368,3,0.4,0.744075741
版本更新,最近哪个英雄削弱了。,最近哪个英雄削弱,"('最新英雄更新', 2)",0.87925076,5,0.375,0.727975535
版本更新,我才会更新,我才会更新,"('这次更新', 2)",0.90466464,3,0.4,0.753265245
版本更新,刚才下次更新,刚才下次更新,"('这次更新', 2)",0.91838044,3,0.5,0.792866307
版本更新,最近出的英雄,最近出英雄,"('最新英雄更新', 2)",0.95087117,4,0.333333333,0.765609819
版本更新,请问这个版本的新英雄是什么,请问这个版本新英雄是什么,"('最新英雄更新', 2)",0.92795,9,0.25,0.724565017
版本更新,版本降低,版本降低,"('版本更新', 2)",0.8566362,2,0.5,0.749645358
版本更新,4月9日更新,月日更新,"('更新', 2)",0.8813261,2,0.5,0.766928256
版本更新,更新英雄调整什么了,更新英雄调整什么,"('最新英雄更新', 2)",0.8979496,5,0.375,0.741064703
版本更新,现在我在个；更新吗,现在我在个；更新,"('这次更新', 2)",0.92942786,6,0.25,0.725599504
版本更新,新英雄海若新英雄海若,新英雄海若新英雄海若,"('新英雄更新', 2)",0.85099435,6,0.4,0.715696044
版本更新,体验服小更新,体验服小更新,"('版本更新', 2)",0.88470024,4,0.333333333,0.719290167
版本更新,多久又更新,多久又更新,"('查一下更新', 2)",0.8765495,3,0.4,0.733584638
版本更新,可以再更新一下吗,可以再更新一下,"('这次更新', 2)",0.915195,5,0.285714286,0.726350777
版本更新,我要新的,我要新,"('新更新', 2)",0.92735124,2,0.333333333,0.749145865
版本更新,这个新英雄咋玩,这个新英雄咋玩,"('新英雄更新', 2)",0.86129206,4,0.428571429,0.731475874
版本更新,新获得的英雄,新获得英雄,"('新英雄更新', 2)",0.9390219,4,0.2,0.71731532
